,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
DN_HistogramMode_5,1.0,0.5937530080914256,-0.6867559291315798,-0.8317804486607766,-0.3110242102101995,0.49675952442860094,0.6887282335027788,-0.7305747757961966,-0.5663266537427029,-0.45035086420638654,-0.23025806802352122,-0.47748583043539905,0.3534305116786094,0.7185498508498674,-0.7075093989525169,-0.5479769265933664,0.7990832382811182,0.610192990394584,0.08270505031576425,-0.09124536151012332,0.32993243670469646,0.5720813202582758
DN_HistogramMode_10,0.5937530080914256,1.0,-0.7967494111527501,-0.29159580884084596,-0.5985640403842071,-0.03399714672004813,0.7860846627103693,-0.6466715671597385,-0.8468317337548888,0.4148162295208417,-0.467094826304938,0.11657165858867845,0.7482267701539332,0.48207564339639974,-0.8094853902933195,-0.5406718593815065,0.852308122864605,0.6677163254613284,0.548903993465875,0.3814384482627398,0.6984967811308801,0.639935717824604
CO_f1ecac,-0.6867559291315798,-0.7967494111527501,1.0,0.254047856770121,0.833616597729932,-0.04575441540753283,-0.992804854524798,0.9284445683416608,0.9335181239091861,-0.080906158620054,0.7961876961970551,-0.25027072633853387,-0.8802506855627655,-0.8045265272190025,0.9813263129212376,0.9043339133152809,-0.7899027652520125,-0.9531587103615299,-0.4005305109756665,-0.1452939716571496,-0.865191338326346,-0.9473051502726608
CO_FirstMin_ac,-0.8317804486607766,-0.29159580884084596,0.254047856770121,1.0,-0.14279672345363825,-0.7734879072065753,-0.25455097832432944,0.43129277328020066,0.12770861831115293,0.5745173263392418,-0.19193021552266692,0.8704737649143329,0.12331937736973284,-0.4875140963333433,0.2675137401471582,0.13295342976297247,-0.5648790304908818,-0.19771893898573645,0.24377466180129592,0.3226898183748864,0.1079449004804858,-0.15507315887202075
CO_HistogramAMI_even_2_5,-0.3110242102101995,-0.5985640403842071,0.833616597729932,-0.14279672345363825,1.0,0.23797587173755322,-0.8361676685852757,0.7828037936038418,0.6948011216389945,-0.2784737568717992,0.9064611669133686,-0.5627363789826154,-0.7456264491858317,-0.720348637139108,0.8226121112718456,0.9268290918490675,-0.35349583431925125,-0.9191396790867735,-0.251590902646034,-0.013209102320814703,-0.8232244634365211,-0.8992156431681007
CO_trev_1_num,0.49675952442860094,-0.03399714672004813,-0.04575441540753283,-0.7734879072065753,0.23797587173755322,1.0,-0.012629803400086423,-0.31520459321663163,0.10521467136995169,-0.43154703244162435,0.043269014567364886,-0.7898480465065496,-0.24808335943263787,0.47168230260768174,0.05431660440100233,-0.061009418128886654,0.2713917066434728,0.09367575336195923,-0.6725803836817763,-0.7165884161269764,-0.04304936453615236,0.12142508214738315
MD_hrv_classic_pnn40,0.6887282335027788,0.7860846627103693,-0.992804854524798,-0.25455097832432944,-0.8361676685852757,-0.012629803400086423,1.0,-0.9196885612024973,-0.9223783111065191,0.03618084842324297,-0.7577459361615053,0.2538173933301793,0.8620989029917566,0.7842461654719749,-0.9950889998299137,-0.8998453384966695,0.7716119066512812,0.9422263431826134,0.44685592518309475,0.19076261991528173,0.8149434692366717,0.923618352020079
SB_BinaryStats_mean_longstretch1,-0.7305747757961966,-0.6466715671597385,0.9284445683416608,0.43129277328020066,0.7828037936038418,-0.31520459321663163,-0.9196885612024973,1.0,0.7586813476512527,0.11169404431183096,0.769911711798109,-0.02841564303729019,-0.6803419230330607,-0.9525425379585245,0.8914881428439294,0.9293876631659681,-0.6881496881496877,-0.955585136420574,-0.08460843881231529,0.18561113016260064,-0.7488812468860514,-0.942645537934027
SB_TransitionMatrix_3ac_sumdiagcov,-0.5663266537427029,-0.8468317337548888,0.9335181239091861,0.12770861831115293,0.6948011216389945,0.10521467136995169,-0.9223783111065191,0.7586813476512527,1.0,-0.2528508904418842,0.6835695704697177,-0.34626755697909595,-0.9643815417266616,-0.5572091602756664,0.9172858343936888,0.7167292785645466,-0.8567051000406555,-0.7963213734638858,-0.6433736283241247,-0.43667365679553166,-0.8616220425592447,-0.8089661981898857
PD_PeriodicityWang_th0_01,-0.45035086420638654,0.4148162295208417,-0.080906158620054,0.5745173263392418,-0.2784737568717992,-0.43154703244162435,0.03618084842324297,0.11169404431183096,-0.2528508904418842,1.0,-0.30127493615894674,0.5969433992104521,0.38841024786531364,-0.22315790022824478,-0.030847538494740947,0.025864504288812627,0.036816745118376716,0.051357378120232444,0.3346180508519751,0.3545350425709351,0.4502689940523334,0.08522105186822844
CO_Embed2_Dist_tau_d_expfit_meandiff,-0.23025806802352122,-0.467094826304938,0.7961876961970551,-0.19193021552266692,0.9064611669133686,0.043269014567364886,-0.7577459361615053,0.769911711798109,0.6835695704697177,-0.30127493615894674,1.0,-0.5681190248610958,-0.7777230521530133,-0.7342195355165149,0.7093678817798404,0.9002315074283199,-0.3422069168966095,-0.8888737126021223,-0.09281277637000528,0.13368525891742597,-0.9238486240587583,-0.9252107601989793
IN_AutoMutualInfoStats_40_gaussian_fmmi,-0.47748583043539905,0.11657165858867845,-0.25027072633853387,0.8704737649143329,-0.5627363789826154,-0.7898480465065496,0.2538173933301793,-0.02841564303729019,-0.34626755697909595,0.5969433992104521,-0.5681190248610958,1.0,0.564843992277536,-0.09956823171627355,-0.24031800091389183,-0.3166954041194457,-0.16492216351054667,0.27552930451448365,0.4863453179033619,0.4374154853869064,0.5200075447004681,0.3081404984772177
FC_LocalSimple_mean1_tauresrat,0.3534305116786094,0.7482267701539332,-0.8802506855627655,0.12331937736973284,-0.7456264491858317,-0.24808335943263787,0.8620989029917566,-0.6803419230330607,-0.9643815417266616,0.38841024786531364,-0.7777230521530133,0.564843992277536,1.0,0.47780762517667663,-0.8453789872332622,-0.7143626723589143,0.7042168242840778,0.7726068803376477,0.6457041806979876,0.45131108567367706,0.9190693977448001,0.8039206621141767
DN_OutlierInclude_p_001_mdrmd,0.7185498508498674,0.48207564339639974,-0.8045265272190025,-0.4875140963333433,-0.720348637139108,0.47168230260768174,0.7842461654719749,-0.9525425379585245,-0.5572091602756664,-0.22315790022824478,-0.7342195355165149,-0.09956823171627355,0.47780762517667663,1.0,-0.7509626860179947,-0.9007918179418489,0.5277138114448602,0.9034467936517625,-0.20215799630379255,-0.45644982128388134,0.641909226107114,0.891153238534171
DN_OutlierInclude_n_001_mdrmd,-0.7075093989525169,-0.8094853902933195,0.9813263129212376,0.2675137401471582,0.8226121112718456,0.05431660440100233,-0.9950889998299137,0.8914881428439294,0.9172858343936888,-0.030847538494740947,0.7093678817798404,-0.24031800091389183,-0.8453789872332622,-0.7509626860179947,1.0,0.8732122827720102,-0.7790202223509181,-0.919637351554543,-0.48929348025762237,-0.24057552650251873,-0.7786011114033988,-0.8914606462982039
SP_Summaries_welch_rect_area_5_1,-0.5479769265933664,-0.5406718593815065,0.9043339133152809,0.13295342976297247,0.9268290918490675,-0.061009418128886654,-0.8998453384966695,0.9293876631659681,0.7167292785645466,0.025864504288812627,0.9002315074283199,-0.3166954041194457,-0.7143626723589143,-0.9007918179418489,0.8732122827720102,1.0,-0.47966622735341996,-0.9856116059759691,-0.10434010836567313,0.1624545593636291,-0.8037487261801762,-0.9758722416884843
SB_BinaryStats_diff_longstretch0,0.7990832382811182,0.852308122864605,-0.7899027652520125,-0.5648790304908818,-0.35349583431925125,0.2713917066434728,0.7716119066512812,-0.6881496881496877,-0.8567051000406555,0.036816745118376716,-0.3422069168966095,-0.16492216351054667,0.7042168242840778,0.5277138114448602,-0.7790202223509181,-0.47966622735341996,1.0,0.6023200590356487,0.47681966577454554,0.31387622559489103,0.602680557838801,0.6028709782595272
SB_MotifThree_quantile_hh,0.610192990394584,0.6677163254613284,-0.9531587103615299,-0.19771893898573645,-0.9191396790867735,0.09367575336195923,0.9422263431826134,-0.955585136420574,-0.7963213734638858,0.051357378120232444,-0.8888737126021223,0.27552930451448365,0.7726068803376477,0.9034467936517625,-0.919637351554543,-0.9856116059759691,0.6023200590356487,1.0,0.17019023241529962,-0.0982960584275971,0.8523287335646365,0.9907294592537004
SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0.08270505031576425,0.548903993465875,-0.4005305109756665,0.24377466180129592,-0.251590902646034,-0.6725803836817763,0.44685592518309475,-0.08460843881231529,-0.6433736283241247,0.3346180508519751,-0.09281277637000528,0.4863453179033619,0.6457041806979876,-0.20215799630379255,-0.48929348025762237,-0.10434010836567313,0.47681966577454554,0.17019023241529962,1.0,0.9621331945100838,0.31987169850526553,0.1520113015230188
SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,-0.09124536151012332,0.3814384482627398,-0.1452939716571496,0.3226898183748864,-0.013209102320814703,-0.7165884161269764,0.19076261991528173,0.18561113016260064,-0.43667365679553166,0.3545350425709351,0.13368525891742597,0.4374154853869064,0.45131108567367706,-0.45644982128388134,-0.24057552650251873,0.1624545593636291,0.31387622559489103,-0.0982960584275971,0.9621331945100838,1.0,0.11036285370034356,-0.11121165263280292
SP_Summaries_welch_rect_centroid,0.32993243670469646,0.6984967811308801,-0.865191338326346,0.1079449004804858,-0.8232244634365211,-0.04304936453615236,0.8149434692366717,-0.7488812468860514,-0.8616220425592447,0.4502689940523334,-0.9238486240587583,0.5200075447004681,0.9190693977448001,0.641909226107114,-0.7786011114033988,-0.8037487261801762,0.602680557838801,0.8523287335646365,0.31987169850526553,0.11036285370034356,1.0,0.8980992688815701
FC_LocalSimple_mean3_stderr,0.5720813202582758,0.639935717824604,-0.9473051502726608,-0.15507315887202075,-0.8992156431681007,0.12142508214738315,0.923618352020079,-0.942645537934027,-0.8089661981898857,0.08522105186822844,-0.9252107601989793,0.3081404984772177,0.8039206621141767,0.891153238534171,-0.8914606462982039,-0.9758722416884843,0.6028709782595272,0.9907294592537004,0.1520113015230188,-0.11121165263280292,0.8980992688815701,1.0
